name,time,flow_in,flow_out,pressure_in,pressure_out
branch0_seg0,0.0000000000000000e+00,1.7490000008144415e+02,1.7489999948514614e+02,2.9073300097762221e+04,2.9019578623264490e+04
branch0_seg0,1.0010010010010010e-03,1.7489999995927792e+02,1.7489999944158171e+02,2.9073301956702839e+04,2.9019580144706993e+04
branch0_seg0,2.0020020020020020e-03,1.7490000002036106e+02,1.7489999978208789e+02,2.9073303651013866e+04,2.9019581652142035e+04
branch0_seg0,3.0030030030030030e-03,1.7489999998981946e+02,1.7490000030951592e+02,2.9073303421725097e+04,2.9019581418657883e+04
branch0_seg0,4.0040040040040040e-03,1.7490000000509028e+02,1.7490000048614786e+02,2.9073301775562864e+04,2.9019580150737311e+04
branch0_seg0,5.0050050050050050e-03,1.7489999999745487e+02,1.7490000009811507e+02,2.9073300594358432e+04,2.9019579255350338e+04
branch0_seg0,6.0060060060060060e-03,1.7490000000127256e+02,1.7489999964533459e+02,2.9073301138816616e+04,2.9019579605000352e+04
branch0_seg0,7.0070070070070069e-03,1.7489999999936373e+02,1.7489999964711413e+02,2.9073302589169038e+04,2.9019580717488487e+04
branch0_seg0,8.0080080080080079e-03,1.7490000000031816e+02,1.7490000003707601e+02,2.9073303222461123e+04,2.9019581236980634e+04
branch0_seg0,9.0090090090090089e-03,1.7489999999984093e+02,1.7490000032544950e+02,2.9073302469605133e+04,2.9019580707406054e+04
branch0_seg0,1.0010010010010010e-02,1.7490000000007953e+02,1.7490000020542749e+02,2.9073301387099058e+04,2.9019579877816723e+04
branch0_seg0,1.1011011011011011e-02,1.7489999999996024e+02,1.7489999989888034e+02,2.9073301179741338e+04,2.9019579641834469e+04
branch0_seg0,1.2012012012012012e-02,1.7490000000001987e+02,1.7489999975755288e+02,2.9073301888287060e+04,2.9019580182181428e+04
branch0_seg0,1.3013013013013013e-02,1.7489999999999009e+02,1.7489999987408854e+02,2.9073302645199303e+04,2.9019580810625150e+04
branch0_seg0,1.4014014014014014e-02,1.7490000000000495e+02,1.7490000011135706e+02,2.9073302665410698e+04,2.9019580821398878e+04
branch0_seg0,1.5015015015015015e-02,1.7489999999999753e+02,1.7490000020981651e+02,2.9073302000033858e+04,2.9019580317330376e+04
branch0_seg0,1.6016016016016016e-02,1.7490000000000123e+02,1.7490000005671081e+02,2.9073301461111692e+04,2.9019579911188437e+04
branch0_seg0,1.7017017017017015e-02,1.7489999999999938e+02,1.7489999986264968e+02,2.9073301633239389e+04,2.9019580005529635e+04
branch0_seg0,1.8018018018018018e-02,1.7490000000000032e+02,1.7489999985573598e+02,2.9073302209334066e+04,2.9019580439313693e+04
