equation,residual
branch0_seg0:flow,0.00000000000000000e+00
branch0_seg0:pressure,6.27470938129135902e-01
branch2_seg0:flow,2.18278728425502777e-11
branch2_seg0:pressure,4.22599650348960409e-02
branch3_seg0_1_2_connectorEL:flow,0.00000000000000000e+00
branch3_seg0_1_2_connectorEL:pressure,0.00000000000000000e+00
branch4_seg0:flow,1.49157131090760231e-10
branch4_seg0:pressure,-4.91761643649661906e-01
branch5_seg0_connectorEL:flow,0.00000000000000000e+00
branch5_seg0_connectorEL:pressure,0.00000000000000000e+00
branch6_seg0_connectorEL:flow,0.00000000000000000e+00
branch6_seg0_connectorEL:pressure,0.00000000000000000e+00
branch7_seg0:flow,4.72937244921922684e-11
branch7_seg0:pressure,-3.98326984924132432e-01
branch8_seg0:flow,3.63797880709171295e-11
branch8_seg0:pressure,-3.06216518664374604e-01
branch9_seg0_connectorEL:flow,0.00000000000000000e+00
branch9_seg0_connectorEL:pressure,0.00000000000000000e+00
branch10_seg0_connectorEL:flow,0.00000000000000000e+00
branch10_seg0_connectorEL:pressure,0.00000000000000000e+00
branch11_seg0:flow,1.12777343019843102e-10
branch11_seg0:pressure,-1.71449263268302232e-01
branch12_seg0_connectorEL:flow,0.00000000000000000e+00
branch12_seg0_connectorEL:pressure,0.00000000000000000e+00
branch13_seg0:flow,5.09317032992839813e-11
branch13_seg0:pressure,-2.34955500224016234e-01
branch14_seg0_1_2_connectorEL:flow,0.00000000000000000e+00
branch14_seg0_1_2_connectorEL:pressure,0.00000000000000000e+00
branch15_seg0_connectorEL:flow,0.00000000000000000e+00
branch15_seg0_connectorEL:pressure,0.00000000000000000e+00
branch16_seg0:flow,1.85536919161677361e-10
branch16_seg0:pressure,-2.70971473946474362e-01
branch17_seg0:flow,1.09139364212751389e-11
branch17_seg0:pressure,-9.73415705055957758e-02
branch18_seg0:flow,2.18278728425502777e-11
branch18_seg0:pressure,-3.51983194703674229e-01
branch19_seg0:flow,4.00177668780088425e-11
branch19_seg0:pressure,2.74182637788683792e-01
