equation,residual
branch0_seg0:flow,0.00000000000000000e+00
branch0_seg0:pressure,6.27470938129135902e-01
branch1_seg0:flow,-9.88752982913865708e-01
branch1_seg0:pressure,2.48730009842290656e-01
branch2_seg0:flow,2.18278728425502777e-11
branch2_seg0:pressure,4.22599650348960409e-02
branch3_seg0:flow,4.36557456851005554e-11
branch3_seg0:pressure,3.19448291461554845e-03
branch3_seg1:flow,3.63797880709171295e-12
branch3_seg1:pressure,-1.04360339486722964e-01
branch3_seg2:flow,1.09139364212751389e-11
branch3_seg2:pressure,-3.14648948962528152e-02
branch4_seg0:flow,1.49157131090760231e-10
branch4_seg0:pressure,-4.91761643649661906e-01
branch5_seg0:flow,1.09139364212751389e-11
branch5_seg0:pressure,-2.78938950984195522e-01
branch6_seg0:flow,3.63797880709171295e-12
branch6_seg0:pressure,-2.98203553446358960e-01
branch7_seg0:flow,4.72937244921922684e-11
branch7_seg0:pressure,-3.98326984924132432e-01
branch8_seg0:flow,3.63797880709171295e-11
branch8_seg0:pressure,-3.06216518664374604e-01
branch9_seg0:flow,1.45519152283668518e-11
branch9_seg0:pressure,-1.29628513212988850e-01
branch10_seg0:flow,0.00000000000000000e+00
branch10_seg0:pressure,-1.18600202632394236e-01
branch11_seg0:flow,1.12777343019843102e-10
branch11_seg0:pressure,-1.71449263268302232e-01
branch12_seg0:flow,1.09139364212751389e-11
branch12_seg0:pressure,-2.26371379100601011e-01
branch13_seg0:flow,5.09317032992839813e-11
branch13_seg0:pressure,-2.34955500224016234e-01
branch14_seg0:flow,4.00177668780088425e-11
branch14_seg0:pressure,-7.91127027411100414e-02
branch14_seg1:flow,7.27595761418342590e-12
branch14_seg1:pressure,-5.40167821966086592e-03
branch14_seg2:flow,7.27595761418342590e-12
branch14_seg2:pressure,-5.52343604670983979e-02
branch15_seg0:flow,7.27595761418342590e-12
branch15_seg0:pressure,-3.12958863162740464e-01
branch16_seg0:flow,1.85536919161677361e-10
branch16_seg0:pressure,-2.70971473946474362e-01
